time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/std,train/explained_variance,train/learning_rate,train/clip_range
100,-15.169663,,,,,,,,,,,,,,
200,-16.365421,,,,,,,,,,,,,,
300,-15.677204,,,,,,,,,,,,,,
400,-16.079943,,,,,,,,,,,,,,
500,-16.88401,,,,,,,,,,,,,,
600,-15.889989,,,,,,,,,,,,,,
700,-14.160959,,,,,,,,,,,,,,
800,-16.442205,,,,,,,,,,,,,,
900,-14.965551,,,,,,,,,,,,,,
1000,-16.021042,,,,,,,,,,,,,,
1100,-17.41875,,,,,,,,,,,,,,
1200,-15.105495,,,,,,,,,,,,,,
1300,-16.122387,,,,,,,,,,,,,,
1400,-15.750084,,,,,,,,,,,,,,
1500,-16.472479,,,,,,,,,,,,,,
1600,-16.389198,,,,,,,,,,,,,,
1700,-16.8221,,,,,,,,,,,,,,
1800,-15.595163,,,,,,,,,,,,,,
1900,-16.480232,,,,,,,,,,,,,,
2000,-15.642811,,,,,,,,,,,,,,
2048,,0,1,2370,,,,,,,,,,,
2100,-16.232216,,,,-1.4146074049174786,35067.5078125,69559.54324951171,0.04365234375,10,-0.0047374197936733255,0.005172139,0.9912532567977905,-0.0021435022354125977,0.00025,0.2
2200,-16.165224,,,,,,,,,,,,,,
2300,-16.185064,,,,,,,,,,,,,,
2400,-15.980459,,,,,,,,,,,,,,
2500,-16.192577,,,,,,,,,,,,,,
2600,-14.901006,,,,,,,,,,,,,,
2700,-14.788074,,,,,,,,,,,,,,
2800,-14.949579,,,,,,,,,,,,,,
2900,-15.513986,,,,,,,,,,,,,,
3000,-15.321048,,,,,,,,,,,,,,
3100,-15.38337,,,,,,,,,,,,,,
3200,-16.366682,,,,,,,,,,,,,,
3300,-16.480047,,,,,,,,,,,,,,
3400,-16.209389,,,,,,,,,,,,,,
3500,-17.723417,,,,,,,,,,,,,,
3600,-16.56004,,,,,,,,,,,,,,
3700,-14.677996,,,,,,,,,,,,,,
3800,-16.1316,,,,,,,,,,,,,,
3900,-16.541973,,,,,,,,,,,,,,
4000,-17.06496,,,,,,,,,,,,,,
4096,,2,2,1630,,,,,,,,,,,
4100,-17.133375,,,,-1.4065865952521563,34761.83203125,70337.47761230469,0.022314453125,20,-0.0018406063813017682,0.004445969,0.984386682510376,0.00883340835571289,0.00025,0.2
4200,-15.403042,,,,,,,,,,,,,,
4300,-15.271799,,,,,,,,,,,,,,
4400,-15.270387,,,,,,,,,,,,,,
4500,-16.122236,,,,,,,,,,,,,,
4600,-15.903128,,,,,,,,,,,,,,
4700,-17.732502,,,,,,,,,,,,,,
4800,-15.487645,,,,,,,,,,,,,,
4900,-13.968354,,,,,,,,,,,,,,
5000,-16.966543,,,,,,,,,,,,,,
5100,-16.52095,,,,,,,,,,,,,,
5200,-16.286999,,,,,,,,,,,,,,
5300,-17.072151,,,,,,,,,,,,,,
5400,-15.084931,,,,,,,,,,,,,,
5500,-16.34036,,,,,,,,,,,,,,
5600,-17.059021,,,,,,,,,,,,,,
5700,-16.33401,,,,,,,,,,,,,,
5800,-15.958841,,,,,,,,,,,,,,
5900,-17.347588,,,,,,,,,,,,,,
6000,-13.841283,,,,,,,,,,,,,,
6100,-15.809941,,,,,,,,,,,,,,
6144,,4,3,1475,,,,,,,,,,,
6200,-16.453089,,,,-1.40755868665874,35203.9453125,70745.5230834961,0.0318359375,30,-0.0036382791411597283,0.0040463954,0.9903730154037476,0.0022364258766174316,0.00025,0.2
6300,-17.330875,,,,,,,,,,,,,,
6400,-16.139389,,,,,,,,,,,,,,
6500,-16.724955,,,,,,,,,,,,,,
6600,-15.03126,,,,,,,,,,,,,,
6700,-14.44829,,,,,,,,,,,,,,
6800,-15.271156,,,,,,,,,,,,,,
6900,-16.721434,,,,,,,,,,,,,,
7000,-14.607667,,,,,,,,,,,,,,
7100,-16.628254,,,,,,,,,,,,,,
7200,-16.275156,,,,,,,,,,,,,,
7300,-14.998094,,,,,,,,,,,,,,
7400,-15.484921,,,,,,,,,,,,,,
7500,-16.233446,,,,,,,,,,,,,,
7600,-16.70078,,,,,,,,,,,,,,
7700,-15.836331,,,,,,,,,,,,,,
7800,-14.890782,,,,,,,,,,,,,,
7900,-14.447948,,,,,,,,,,,,,,
8000,-16.467693,,,,,,,,,,,,,,
8100,-16.299433,,,,,,,,,,,,,,
8192,,5,4,1405,,,,,,,,,,,
8200,-16.181644,,,,-1.4077504690736533,33778.6015625,68668.25484619141,0.012158203125,40,-0.001403548581583891,0.0020812247,0.9872291684150696,0.000310361385345459,0.00025,0.2
8300,-15.797251,,,,,,,,,,,,,,
8400,-15.894244,,,,,,,,,,,,,,
8500,-15.352723,,,,,,,,,,,,,,
8600,-17.301407,,,,,,,,,,,,,,
8700,-16.09846,,,,,,,,,,,,,,
8800,-16.096094,,,,,,,,,,,,,,
8900,-14.043521,,,,,,,,,,,,,,
9000,-16.15268,,,,,,,,,,,,,,
9100,-15.707612,,,,,,,,,,,,,,
9200,-16.06237,,,,,,,,,,,,,,
9300,-15.145513,,,,,,,,,,,,,,
9400,-16.763025,,,,,,,,,,,,,,
9500,-16.154842,,,,,,,,,,,,,,
9600,-15.0697155,,,,,,,,,,,,,,
9700,-15.89975,,,,,,,,,,,,,,
9800,-15.6838455,,,,,,,,,,,,,,
9900,-15.770819,,,,,,,,,,,,,,
10000,-14.682129,,,,,,,,,,,,,,
10100,-17.356884,,,,,,,,,,,,,,
10200,-16.357084,,,,,,,,,,,,,,
10240,,7,5,1372,,,,,,,,,,,
